problem,variables,manhat_dist,opt_Z,pred_Z,abs_err,rel_err,fn_calls
convex2_35_2,35,1.43E-05,11.1,268.4528504,257.3528504,23.18494148,2500
convex2_35_3,35,1.74E-05,13.1,665.9766513,652.8766513,49.83791231,2500
convex2_35_4,35,2.02E-05,15.2,230.9325166,215.7325166,14.19292872,2500
convex2_35_5,35,2.10E-05,15.4,442.0135287,426.6135287,27.70217719,2500
convex2_40_1,40,1.40E-05,12,210.8079337,198.8079337,16.56732781,2500
convex2_40_2,40,1.44E-05,12.4,257.1564986,244.7564986,19.7384273,2500
convex2_40_3,40,1.33E-05,11.3,1050.101779,1038.801779,91.92936096,2500
convex2_40_4,40,1.49E-05,12.6,564.3431534,551.7431534,43.78913916,2500
convex2_40_5,40,1.42E-05,12.5,282.9740852,270.4740852,21.63792682,2500
convex2_45_1,45,1.49E-05,14.4,300.6717042,286.2717042,19.87997946,2500
convex2_45_2,45,1.37E-05,13.5,670.9789948,657.4789948,48.70214777,2500
convex2_45_3,45,1.80E-05,17.2,656.1864977,638.9864977,37.15037777,2500
convex2_45_4,45,1.41E-05,14.2,644.2180274,630.0180274,44.36746672,2500
convex2_45_5,45,1.68E-05,15.8,784.2497488,768.4497488,48.63606005,2500
convex2_5_1,5,1.69E-05,2.35,6.233053565,3.883053565,1.652363219,30
convex2_5_2,5,2.95E-06,0.853,90.18164382,89.32864382,104.7229119,2500
convex2_5_3,5,2.89E-08,1.15,1.149167596,-0.000832404,0.00072383,20
convex2_5_4,5,2.91E-06,1.58,2.179183015,0.599183015,0.379229757,20
convex2_5_5,5,6.48E-06,1.84,2.775086626,0.935086626,0.508199253,20
convex2_50_1,50,1.77E-05,18.5,720.6138192,702.1138192,37.95209833,2500
convex2_50_2,50,1.54E-05,16.6,700.1950988,683.5950988,41.18042764,2500
convex2_50_3,50,1.58E-05,17.1,628.3338476,611.2338476,35.74466945,2500
convex2_50_4,50,1.99E-05,21,1648.490161,1627.490161,77.49953145,2500
convex2_50_5,50,1.87E-05,19.7,1426.202154,1406.502154,71.39604843,2500
problem2_1,2,0.00210418,1.95,2.3704,0.4204,0.215589744,2500
problem2_4,3,7.67E-06,3.6,4,0.4,0.111111111,20
problem2_5,4,3.99E-05,-44,-16.4311,27.5689,0.626565909,2500
problem2_6,4,0.0005,-44,12,56,1.272727273,2500
problem2_10,4,0.000671132,116,764.125,648.125,5.587284483,2500
problem2_11,4,4.00E-05,0.00264,1,0.99736,377.7878788,2500
problem2_12,4,0.002934646,0.00202,1.97728,1.97526,977.8514851,2500
problem2_19,7,8.84E-05,681,1183,502,0.737151248,2500
problem2_20,10,0.000201637,24.3,7456.36,7432.06,305.8460905,2500
problem2_21,20,0.000174233,134,3362.74,3228.74,24.09507463,2500
problem2_22,10,0,54.5,54.5982,0.0982,0.001801835,30
problem2_23,11,0.003857259,261,290.349,29.349,0.112448276,2500
problem2_24,20,1.12E-05,1.47E-08,1,0.999999985,-,2500
problem2_25,11,0.146434253,0.048,1.366,1.318,27.45833333,2500
problem3_1,2,0,0,1,1,-,20
problem3_3,2,0.003646817,1.95,2.38134,0.43134,0.2212,2500
problem3_4,2,0.001815901,2,2.34119,0.34119,0.170595,2500
problem3_5,2,2.50E-05,-3,-1.99996,1.00004,0.333346667,20
problem3_6,2,9.00E-05,7.2,60,52.8,7.333333333,2500
problem3_7,2,2.28E-05,-1.41,-0.500416,0.909584,0.645095035,20
problem3_8,2,2.50E-05,-1,0,1,1,2500
problem3_9,2,2.50E-05,-1,-0.445648,0.554352,0.554352,1060
problem3_11,4,4.94E-05,-44,-0.0609264,43.9390736,0.998615309,20
problem3_12,5,4.67E-05,22.6,74.9851,52.3851,2.317924779,2500
problem3_17,10,1.09E-05,9.83,30,20.17,2.051881994,30
problem3_20,20,0,0,0,0,-,30
problem3_21,48,0.017081944,-639000,-464816,174184,0.272588419,2500
problem3_22,50,0,0,0,0,-,30
problem3_23,50,0,0,0,0,-,30
problem3_24,50,0,0,0,0,-,30
