problem,variables,manhat_dist,opt_Z,pred_Z,abs_err,rel_err,fn_calls
s242,3,0.051291081,0,0.55018107,0.55018107,-,21
s243,3,7.62E-07,0.606,0.796555232,0.190555232,0.314447577,20
s244,3,0.032770633,0,0.146561936,0.146561936,-,20
s245,3,0.333333333,0,0,0,-,20
s246,3,5.00E-05,0,2,2,-,20
growthls,3,0.00676395,1,599.9920403,598.9920403,598.9920403,2500
hatfldd,3,0.060860443,0,10.67076779,10.67076779,-,2500
growth,3,0.008752803,1,1837.961268,1836.961268,1836.961268,2500
engval2,3,1.72E-05,0,1237,1237,-,20
eg1,3,0.003199383,-1.43,-1.425636651,0.004363349,0.003051293,25
box3,3,0.333333333,0,0,0,-,20
allinit,3,6.37E-05,16.7,27.27957932,10.57957932,0.633507744,42
biggs3,3,0.183523393,0,0.720702001,0.720702001,-,28
fermat_vareps,3,5.18E-05,7.46,8.472135955,1.012135955,0.135675061,22
fermat2_vareps,3,4.74E-05,4.47,6.328316221,1.858316221,0.415730698,20
least,3,0.002956768,14100,22042.98452,7942.984525,0.563332236,2500
s275,4,0,0,0,0,-,20
s350,4,4.06E-06,0.000308,101406934.7,101406934.7,-,20
s351,4,0.023527234,319,101406934.7,101406615.7,317889.0774,2500
s352,4,0.000147013,903,1275.622631,372.6226309,0.412649647,122
shekel,4,0.09998935,-10.2,4642562966,4642562976,455153233,2500
palmer1,4,0.370160813,11800,4642562966,4642551166,393436.5395,2500
palmer5d,4,0.003264814,87.3,17525.421,17438.121,199.7493814,2500
palmer4,4,0.361553852,2290,3053924549,3053922259,1333590.506,2500
palmer3,4,0.109960702,2270,3053924549,3053922279,1345340.211,2500
s256,4,0,0,0,0,-,20
s257,4,7.50E-05,2.69E-27,42,42,-,20
s258,4,5.00E-05,0,42,42,-,20
s259,4,7.15E-05,-8.54,3792.09346,3800.63346,445.0390468,38
s260,4,5.00E-05,2.42E-23,42,42,-,20
s261,4,0.000216089,0,2,2,-,2500
allinitu,4,2.96E-05,5.74,13,7.26,1.264808362,20
brownden,4,0.000193907,85800,234195.0011,148395.0011,1.729545467,2500
hatflda,4,0.175266073,0,2.396443263,2.396443263,-,2500
hatfldb,4,2.63E-05,0.00557,0.645574258,0.640004258,114.9020211,42
hatfldc,4,0.050006583,0,0.999999691,0.999999691,-,70
himmelbf,4,0.023527234,319,2537.486879,2218.486879,6.954504324,2500
hs038,4,0.041225801,0,5.035683058,5.035683058,-,2500
kowalik,4,0.123868274,0.000307,2239.847727,2239.84742,-,2500
kowosb,4,4.06E-06,0.000308,2239.847727,2239.847419,-,20
powell,4,0.018004971,0,0.385157578,0.385157578,-,33
pspdoc,4,0,2.41,2.414213562,0.004213562,0.001748366,20
aircrftb,5,1.16E-05,0,23.02458472,23.02458472,-,20
genhumps,5,0,0,0,0,-,20
hs045,5,0,1,1,0,0,35
osborne1,5,0.120720286,5.46E-05,1.065091051,1.065036451,-,2500
osbornea,5,0.034212216,5.46E-05,1.152902909,1.152848309,-,2500
s266,5,0,1,1.000000231,2.31E-07,2.31E-07,20
s267,5,0.041176614,0.00252,1.541270587,1.538750587,610.6153122,2500
s358,5,0.290786773,5.46E-05,0.631882207,0.631827607,-,23
schwefel,5,6.17E-18,0,4.88E-13,4.88E-13,-,20
biggs6,6,0.137652448,0,8.253560704,8.253560704,-,2500
hart6,6,0.010046273,-3.32,-3.303506004,0.016493996,0.004968071,29
heart6ls,6,0.000223387,0,469.966701,469.966701,-,2500
palmer2a,6,0.166612852,0.0172,4.56E+20,4.56E+20,2.65E+22,2500
s271,6,3.33E-05,0,490,490,-,20
s272,6,0.012568543,4.84E-18,2.058370677,2.058370677,-,2500
s273,6,5.00E-05,0,57000,57000,-,20
palmer6a,6,0.166553632,0.0559,2.94E+19,2.94E+19,5.26E+20,2500
palmer8a,6,0.166842231,0.074,2.94E+19,2.94E+19,3.97E+20,2500
s294,6,5.00E-05,4.68E-22,5,5,-,20
s276,6,0,0,0,0,-,20
s370,6,3.75E-05,0.00229,30,29.99771,13099.43668,20
st_bsj3,6,0,-86800,-86768.55,31.45,0.000362327,22
palmer5c,6,0.000706477,2.13,3680.401264,3678.271264,1726.887917,2500
palmer1d,7,0.00301956,0.653,22687.52339,22686.87039,34742.5274,2500
arglinc,8,2.53E-07,6.14,20,13.86,2.25732899,30
heart8ls,8,5.07E-05,0,15.34292195,15.34292195,-,1390
palmer1c,8,0.003619907,0.0976,107407.3925,107407.2949,1100484.579,2500
palmer1e,8,0.007143031,0.0008,107407.3925,107407.3917,-,2500
palmer2c,8,0.001635248,0.0144,16103.01964,16103.00524,1118264.253,2500
palmer2e,8,0.016505715,0.0002,16103.01964,16103.01944,-,2500
palmer3c,8,0.001606821,0.0195,15824.04004,15824.02054,811488.2326,2500
palmer3e,8,0.02934027,5.07E-05,15111.89016,15111.8901,-,2500
palmer4c,8,0.002259289,0.0503,17275.00294,17274.95264,343438.4223,2500
palmer4e,8,0.018031513,0.0001,17275.00294,17275.00284,-,2500
palmer5a,8,0.17514902,0.024,7.60E+12,7.60E+12,3.17E+14,2500
palmer5e,8,0.221786228,0.0207,26686.4656,26686.4449,1289200.237,2500
palmer6c,8,0.003775063,0.0164,8103.345923,8103.329523,494105.4587,2500
palmer6e,8,0.015734204,0.0002,8103.345923,8103.345723,-,2500
palmer7c,8,0.013821782,0.602,21597.17802,21596.57602,35874.71099,2500
palmer7e,8,0.203516308,4.25,21597.17802,21592.92802,5080.688945,2500
palmer8c,8,0.005252184,0.16,18140.89544,18140.73544,113379.5965,2500
palmer8e,8,0.008227003,0.0063,18140.89544,18140.88914,2879506.212,2500
oslbqp,8,0.091569767,6.25,8.85125,2.60125,0.4162,2500
s368,8,0.131507383,-1,-0.998619885,0.001380115,0.001380115,53
s371,9,1.19E-05,1.40E-06,30,29.9999986,-,2500
nonmsqrt,9,0.000312713,0.752,3.318255428,2.566255428,3.412573707,2500
palmer5b,9,0.116029753,0.00975,38172559920,38172559920,3.92E+12,2500
arglinb,10,3.66E-07,4.63,20,15.37,3.319654428,25
brownal,10,5.00E-05,0,75.45074512,75.45074512,-,1178
dixon3dq,10,5.00E-05,0,2,2,-,25
extrosnb,10,0.00015723,0,1,1,-,2500
s281,10,5.00E-05,1.45E-05,14.46244742,14.46243292,-,25
s282,10,5.00E-05,1.16E-20,2,2,-,25
s283,10,5.00E-05,0,27680640625,27680640625,-,25
s291,10,0,0,0,0,-,25
s295,10,5.00E-05,2.44E-21,9,9,-,25
hilberta,10,0,0,0,0,-,25
hs110,10,0.013052109,-45.8,-45.27592984,0.524070159,0.01144258,34
osborneb,11,0.197220884,0.0401,3.138769123,3.098669123,77.27354421,2500
s379,11,0.108706602,0.0433,3.164528554,3.121228554,72.08380032,2500
qudlin,12,0,-7200,-7200,0,0,28
s296,16,5.00E-05,1.22E-20,15,15,-,25
polygon,19,0.18439746,-10,-8.995212717,1.004787283,0.100478728,2500
s286,20,5.00E-05,8.33E-19,10,10,-,30
s287,20,5.00E-05,2.13E-19,210,210,-,30
s288,20,0,0,0,0,-,30
sineali,20,0.149004307,-1900,-1793.639127,106.3608733,0.055979407,2500
s300,20,0.000517945,-20,-1.995018144,18.00498186,0.900249093,485
s303,20,0,0,0,0,-,30
watson,31,2.58E-06,0,30,30,-,30
3pk,30,0.019003226,1.72,2881579508,2881579506,1675336922,2500
s289,30,0,0,0,0,-,30
s292,30,0,0,0,0,-,30
s297,30,5.00E-05,3.60E-18,29,29,-,30
